Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,911950,-,-,-,30.41,-87.22,0,13,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,0,30,0,0,19.2,0.11,1.7,100,19.2,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,1,30,0,0,19,0.11,1.5,100,19,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,2,30,0,0,18.8,0.11,1.4,100,18.8,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,3,30,0,0,18.5,0.11,1.4,100,18.5,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,4,30,0,0,18.4,0.11,1.5,100,18.4,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,5,30,0,0,18.5,0.11,1.7,100,18.5,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,6,30,0,0,18.6,0.11,1.9,100,18.6,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,7,30,0,0,18.7,0.11,1.8,100,18.7,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,8,30,0,0,18.6,0.11,1.5,100,18.6,1015,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,9,30,0,0,18.5,0.11,1.3,100,18.5,1015,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,10,30,0,0,18.5,0.11,1.1,100,18.5,1015,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,11,30,0,0,18.5,0.11,0.9,99.73,18.5,1015,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,12,30,0,0,18.4,0.11,0.7,98.63,18.6,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,13,30,17,0,18.6,0.11,0.5,98.5,18.8,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,14,30,48,0,18.8,0.11,0.5,98.68,19,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,15,30,40,0,18.7,0.11,0.5,94.17,19.7,1017,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,16,30,94,0,18.7,0.11,0.5,87.53,20.8,1016,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,17,30,139,1,18,0.11,0.7,82.46,21.1,1014,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,18,30,195,11,17.8,0.11,1.2,83.73,20.7,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,19,30,204,47,18.1,0.11,1.7,88.03,20.1,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,20,30,73,13,18.2,0.11,2.1,92.54,19.4,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,21,30,45,21,18.4,0.11,2.2,96.81,18.9,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,22,30,28,6,18.4,0.11,2.3,98.95,18.6,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,3,23,30,0,0,18.5,0.11,2.4,99.75,18.5,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,0,30,0,0,18.7,0.11,2.7,99.15,18.8,1012,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,1,30,0,0,18.9,0.11,3,98.45,19.2,1012,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,2,30,0,0,19.3,0.11,3.2,98.63,19.5,1011,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,3,30,0,0,19.6,0.11,3.5,98.37,19.9,1011,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,4,30,0,0,20,0.11,4,98.55,20.2,1010,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,5,30,0,0,20.2,0.11,4.5,98.58,20.4,1010,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,6,30,0,0,20.2,0.11,4.6,98.92,20.4,1010,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,7,30,0,0,19.9,0.11,4.5,100,19.9,1010,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,8,30,0,0,18.8,0.11,4.5,100,18.8,1009,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,9,30,0,0,17.6,0.11,4.5,100,17.6,1010,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,10,30,0,0,16.3,0.11,4.6,98.7,16.5,1010,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,11,30,0,0,15,0.11,4.6,95.69,15.7,1011,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,12,30,0,0,14.1,0.11,4.6,93.11,15.2,1012,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,13,30,45,139,13.3,0.11,4.8,90.61,14.8,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,14,30,110,167,12.3,0.11,5.1,86.32,14.6,1014,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,15,30,135,552,11.3,0.11,5.3,80.08,14.7,1014,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,16,30,81,916,10.3,0.11,5.5,73.97,14.9,1013,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,17,30,135,755,9.3,0.11,5.7,68.68,15,1012,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
