address,zipcode,values,last_sale,sales_price,last_mortgage,mortgage_amount,building_area,lender,units,property_type,reported_owner,building_area_int,industrial_no_of_panels,solar_prod_kw,solar_prod_mw
"13483 103rd St, Jacksonville, FL 32210",32210,"30.24832,-81.765310",21-Jul-20,"$75,482,301 ",21-Jul-20,"$200,730,000 ","1,010,220 SF",Prudential Ins Co/America,--,Industrial | Warehouse,Cecil Distribution Center Llc,1010220,20204.4,1010220,1010.22
"2400 Nw 116th St, Miami, FL 33167",33167,"25.88139,-80.200620",--,--,--,--,"803,285 SF",--,--,Industrial | Warehouse,Cp Logistics Westview Llc,803285,16065.6,803280,803.28
"4001 Rice Rd, Plant City, FL 33566",33566,"27.99595,-82.063410",14-Nov-20,"$631,004 ",23-Nov-16,"$11,500,000 ","816,344 SF",Northwestern Mutual Life Ins,--,Industrial | Warehouse,Uscif Cnty Line Indl Portfoli,816344,16326.8,816340,816.34
"12340 Boggy Creek Rd, Orlando, FL 32824",32824,"28.384270,-81.316254",21-Sep-18,"$108,000,000 ",31-Jul-20,"$52,000,000 ","880,296 SF",Principal Life Ins Co,--,Industrial | Warehouse,Ta Fulfillment Center Orl Llc,880296,17606,880300,880.3
"1062 Old Dixie Hwy, Auburndale, FL 33823",33823,,18-Jul-16,"$8,500,000 ",1-Nov-21,"$2,230,000,000 ","831,600 SF",Na,1,Industrial | General Industrial,Medline Industries Inc,831600,16632,831600,831.6
"11440 Nw 122nd St, Medley, FL 33178",33178,,--,--,--,--,"812,314 SF",--,--,Industrial | Warehouse,Liberty Property Ltd Partnership,812314,16246.4,812320,812.32
"13333 103rd St, Jacksonville, FL 32210",32210,,28-Feb-18,--,--,--,"1,016,058 SF",--,1,Industrial | Warehouse,Gpt Bts 103rd St Owner Llc,1016058,20321.2,1016060,1016.06
"1010 Crews Commerce Dr, Orlando, FL 32837",32837,,18-Dec-15,"$11,101,100 ",29-Jul-19,"$43,164,000 ","794,210 SF",Regions Bk,--,Industrial | Warehouse,Crews Commerce Venture Llc,794210,15884,794200,794.2
"12900 Pecan Park Rd, Jacksonville, FL 32218",32218,,5-Aug-20,"$10,780,000 ",5-Aug-20,"$139,100,000 ","856,605 SF",Goldman Sachs Bank Usa,1,Industrial | General Industrial,Jdm Amzn Jax Llc,856605,17132,856600,856.6
"5000 Us Highway 1 N, Saint Augustine, FL 32095",32095,,--,--,--,--,"805,157 SF",--,2,Industrial | Heavy Industrial,Northrop Grumman Systems Corp,805157,16103.2,805160,805.16
"1760 County Line Rd, Lakeland, FL 33811",33811,,1-Dec-16,"$87,657,600 ",1-Jul-17,"$33,360,000 ","1,016,080 SF",Wells Fargo,1,Industrial | General Industrial,New Amazon Llc 33%,1016080,20321.6,1016080,1016.08
"3350 Laurel Ridge Ave, Ruskin, FL 33570",33570,,24-Apr-19,"$123,600,000 ",16-Dec-20,--,"1,316,480 SF",American General Life Ins,1,Industrial | Warehouse,Ilpt Ruskin Properties Llc,1316480,26329.6,1316480,1316.48
"1001 13th Ave E, Bradenton, FL 34208",34208,,--,--,--,--,"2,186,585 SF",--,1,Industrial | Heavy Industrial,Tropicana Manufacturing Company Inc,2186585,43731.6,2186580,2186.58
"2651 Scenic Hwy S, Haines City, FL 33844",33844,,13-Mar-08,--,--,--,"808,097 SF",--,8,Industrial | Storage,Aldi Florida Llc,808097,16162,808100,808.1
"13201 S Orange Ave, Orlando, FL 32824",32824,,3-Jul-12,"$31,300,000 ",30-Sep-19,"$1,550,000 ","762,065 SF",Deutsche Bank National Trust Co,--,Industrial | Warehouse,Icon Dp Wh Orlando Owner Pool 5 Ga/F,762065,15241.2,762060,762.06
"11530 New Berlin Rd, Jacksonville, FL 32226",32226,,16-Nov-20,"$55,341,300 ",16-Nov-20,"$36,873,410 ","871,952 SF",Metlife R/E Lndg Llc,2,Industrial | Warehouse,Es 11530 New Berlin Llc,871952,17439.2,871960,871.96
"12200 Presidents Ct, Jacksonville, FL 32220",32220,,13-Mar-19,"$46,900,000 ",15-May-19,"$50,000,000 ","772,354 SF",The Lincoln National Life Insurance Co,2,Industrial | Warehouse,12200 Presidents Industrial Llc,772354,15447.2,772360,772.36
"10480 Yeager Rd, Jacksonville, FL 32218",32218,,14-Dec-15,"$48,000,000 ",--,--,"819,960 SF",--,--,Industrial | Warehouse,Gc Net Lease Jacksonville Investors Llc,819960,16399.2,819960,819.96
"4950 Pow Mia Memorial Pkwy, Jacksonville, FL 32221",32221,,21-Sep-15,"$45,772,598 ",--,--,"1,036,155 SF",--,1,Industrial | Warehouse,Bridgestone Americas Tire Operations Llc,1036155,20723.2,1036160,1036.16
"2969 Faye Rd, Jacksonville, FL 32226",32226,,12-Nov-20,--,--,--,"813,398 SF",--,2,Industrial | Warehouse,Jax2983 Llc,813398,16268,813400,813.4
