zipcode,date_time,DNI,Temperature,solar_prod_by_panel_wh,panels,solar_prod_kwh,solar_prod_mwh,real_pred_demand_mwh
32433,2019-11-23,41.41666666666666,18.950000000000006,52.51124175570273,0.0,0.0,0.0,894.3904649375
32433,2019-11-24,259.625,11.12916666666667,109.17293396187625,0.0,0.0,0.0,889.3666675000001
32433,2019-11-25,323.125,10.525,143.732519564153,0.0,0.0,0.0,880.9549446875
32433,2019-11-26,144.58333333333334,14.470833333333333,57.155185895124575,0.0,0.0,0.0,853.9488134375
32433,2019-11-27,53.875,20.608333333333327,48.570854130928296,0.0,0.0,0.0,1031.5226396875
32433,2019-11-28,279.7083333333333,15.7125,142.4945565697259,0.0,0.0,0.0,871.2658290625002
32433,2019-11-29,283.2083333333333,14.779166666666667,139.05343374545225,0.0,0.0,0.0,883.56231234375
32433,2019-11-30,292.3333333333333,17.099999999999998,139.55009551077205,0.0,0.0,0.0,897.9201114062498
32433,2019-12-01,164.29166666666666,20.05,63.04374193271751,0.0,0.0,0.0,959.433015375
32433,2019-12-02,327.2083333333333,9.795833333333334,151.45162384361237,0.0,0.0,0.0,926.668781125
32433,2019-12-03,313.125,5.624999999999999,139.21043391831324,0.0,0.0,0.0,1025.18725609375
32433,2019-12-04,324.7083333333333,8.887500000000003,145.60751415351956,0.0,0.0,0.0,945.0329904375
32433,2019-12-05,267.4583333333333,11.187499999999998,125.49669682676789,0.0,0.0,0.0,974.41068146875
32433,2019-12-06,99.125,13.979166666666664,33.77863155791624,0.0,0.0,0.0,910.7301959375
32433,2019-12-07,116.79166666666669,15.458333333333336,38.08174378483558,0.0,0.0,0.0,918.84940240625
32433,2019-12-08,80.75,15.1,91.11946675125805,0.0,0.0,0.0,918.52303325
32433,2019-12-09,124.33333333333331,19.033333333333328,64.11698353090087,0.0,0.0,0.0,939.80160915625
32433,2019-12-10,56.41666666666666,19.883333333333336,34.973259224088906,0.0,0.0,0.0,984.57904475
32433,2019-12-11,1.625,10.29583333333333,-4.792439385666202,0.0,-0.0,-0.0,890.2761463437498
32433,2019-12-12,34.25,9.7625,2.192904690319361,0.0,0.0,0.0,944.02319509375
32433,2019-12-13,13.5,11.516666666666666,12.976862427684672,0.0,0.0,0.0,972.43305625
32433,2019-12-14,242.29166666666663,12.320833333333333,108.38180934871633,0.0,0.0,0.0,948.6998710000001
32433,2019-12-15,244.125,13.604166666666664,138.22860762633826,0.0,0.0,0.0,905.98539375
32433,2019-12-16,128.58333333333334,16.924999999999994,91.99378444028842,0.0,0.0,0.0,921.2019324999999
32433,2019-12-17,0.9166666666666666,16.679166666666667,-1.5474488927420822,0.0,-0.0,-0.0,888.5292811250001
32433,2019-12-18,351.95833333333326,5.754166666666666,158.98975915364787,0.0,0.0,0.0,956.5392609375
32433,2019-12-19,345.70833333333326,4.579166666666667,154.4451466579414,0.0,0.0,0.0,996.41557046875
