utc_datetime,respondent_id_ferc714,demand_mwh
2014-10-31,6288,48152.0
2014-11-01,6288,38881.0
2014-11-02,6288,40974.0
2014-11-03,6288,44450.0
2014-11-04,6288,43280.0
2014-11-05,6288,45012.0
2014-11-06,6288,47298.0
2014-11-07,6288,46466.0
2014-11-08,6288,39967.0
2014-11-09,6288,38835.0
2014-11-10,6288,42215.0
2014-11-11,6288,42327.0
2014-11-12,6288,42651.0
2014-11-13,6288,43048.0
2014-11-14,6288,42062.0
2014-11-15,6288,41161.0
2014-11-16,6288,41322.0
2014-11-17,6288,45329.0
2014-11-18,6288,44185.0
2014-11-19,6288,55698.0
2014-11-20,6288,52463.0
2014-11-21,6288,47440.0
2014-11-22,6288,40547.0
2014-11-23,6288,44564.0
2014-11-24,6288,50875.0
2014-11-25,6288,48412.0
2014-11-26,6288,43695.0
2014-11-27,6288,44291.0
2014-11-28,6288,44059.0
2014-11-29,6288,45512.0
2014-11-30,6288,41224.0
2014-12-01,6288,42996.0
2014-12-02,6288,44772.0
2014-12-03,6288,45549.0
2014-12-04,6288,46198.0
2014-12-05,6288,46073.0
2014-12-06,6288,45350.0
2014-12-07,6288,42391.0
2014-12-08,6288,42722.0
2014-12-09,6288,44684.0
2014-12-10,6288,49760.0
2014-12-11,6288,51531.0
2014-12-12,6288,51678.0
2014-12-13,6288,52707.0
2014-12-14,6288,49058.0
2014-12-15,6288,51605.0
2014-12-16,6288,48660.0
2014-12-17,6288,44222.0
2014-12-18,6288,46301.0
2014-12-19,6288,47321.0
2014-12-20,6288,43364.0
2014-12-21,6288,41362.0
2014-12-22,6288,43699.0
2014-12-23,6288,46984.0
2014-12-24,6288,49148.0
2014-12-25,6288,40192.0
2014-12-26,6288,40710.0
2014-12-27,6288,42228.0
2014-12-28,6288,43498.0
2014-12-29,6288,44923.0
2014-12-30,6288,45099.0
2014-12-31,6288,42878.0
2015-01-01,6288,40313.0
2015-01-02,6288,41864.0
2015-01-03,6288,45944.0
2015-01-04,6288,46999.0
2015-01-05,6288,45197.0
2015-01-06,6288,43495.0
2015-01-07,6288,44325.0
2015-01-08,6288,52553.0
2015-01-09,6288,53730.0
2015-01-10,6288,51564.0
2015-01-11,6288,44278.0
2015-01-12,6288,43611.0
2015-01-13,6288,44166.0
2015-01-14,6288,43446.0
2015-01-15,6288,45490.0
2015-01-16,6288,48242.0
2015-01-17,6288,46522.0
2015-01-18,6288,40772.0
2015-01-19,6288,45039.0
2015-01-20,6288,46462.0
2015-01-21,6288,45064.0
2015-01-22,6288,44173.0
2015-01-23,6288,44572.0
2015-01-24,6288,41489.0
2015-01-25,6288,44697.0
2015-01-26,6288,44624.0
2015-01-27,6288,48412.0
2015-01-28,6288,48513.0
2015-01-29,6288,51982.0
2015-01-30,6288,46888.0
2015-01-31,6288,45158.0
2015-02-01,6288,42200.0
2015-02-02,6288,41687.0
2015-02-03,6288,48546.0
2015-02-04,6288,46200.0
2015-02-05,6288,43297.0
2015-02-06,6288,47652.0
2015-02-07,6288,46072.0
2015-02-08,6288,42428.0
2015-02-09,6288,43918.0
2015-02-10,6288,45226.0
2015-02-11,6288,48016.0
2015-02-12,6288,48525.0
2015-02-13,6288,48262.0
2015-02-14,6288,54982.0
2015-02-15,6288,47502.0
2015-02-16,6288,45213.0
2015-02-17,6288,43943.0
2015-02-18,6288,46120.0
2015-02-19,6288,57338.0
2015-02-20,6288,67803.0
2015-02-21,6288,55098.0
2015-02-22,6288,42230.0
2015-02-23,6288,44715.0
2015-02-24,6288,43926.0
2015-02-25,6288,43691.0
2015-02-26,6288,43896.0
2015-02-27,6288,44563.0
2015-02-28,6288,44916.0
2015-03-01,6288,42839.0
2015-03-02,6288,47215.0
2015-03-03,6288,48540.0
2015-03-04,6288,49708.0
2015-03-05,6288,50146.0
2015-03-06,6288,47674.0
2015-03-07,6288,41301.0
2015-03-08,6288,41494.0
2015-03-09,6288,45160.0
2015-03-10,6288,50466.0
2015-03-11,6288,53507.0
2015-03-12,6288,54090.0
2015-03-13,6288,52363.0
2015-03-14,6288,51678.0
2015-03-15,6288,50470.0
2015-03-16,6288,51688.0
2015-03-17,6288,51208.0
2015-03-18,6288,52619.0
2015-03-19,6288,53439.0
2015-03-20,6288,52818.0
2015-03-21,6288,49932.0
2015-03-22,6288,50147.0
2015-03-23,6288,49672.0
2015-03-24,6288,49078.0
2015-03-25,6288,49421.0
2015-03-26,6288,51588.0
2015-03-27,6288,49089.0
2015-03-28,6288,40164.0
2015-03-29,6288,39942.0
2015-03-30,6288,43444.0
2015-03-31,6288,46100.0
2015-04-01,6288,48807.0
2015-04-02,6288,50848.0
2015-04-03,6288,51884.0
2015-04-04,6288,49855.0
2015-04-05,6288,49738.0
2015-04-06,6288,54328.0
2015-04-07,6288,55951.0
2015-04-08,6288,57820.0
2015-04-09,6288,58483.0
2015-04-10,6288,58705.0
2015-04-11,6288,56870.0
2015-04-12,6288,54108.0
2015-04-13,6288,57279.0
2015-04-14,6288,59033.0
2015-04-15,6288,60513.0
2015-04-16,6288,59343.0
2015-04-17,6288,55715.0
2015-04-18,6288,56505.0
2015-04-19,6288,57069.0
2015-04-20,6288,54371.0
2015-04-21,6288,52584.0
2015-04-22,6288,56290.0
2015-04-23,6288,53989.0
2015-04-24,6288,58133.0
2015-04-25,6288,57426.0
2015-04-26,6288,58929.0
2015-04-27,6288,61036.0
2015-04-28,6288,52222.0
2015-04-29,6288,57401.0
2015-04-30,6288,53839.0
2015-05-01,6288,49612.0
2015-05-02,6288,47007.0
2015-05-03,6288,47710.0
2015-05-04,6288,50656.0
2015-05-05,6288,52809.0
2015-05-06,6288,55436.0
2015-05-07,6288,57340.0
2015-05-08,6288,54679.0
2015-05-09,6288,54877.0
2015-05-10,6288,57082.0
2015-05-11,6288,62148.0
2015-05-12,6288,63552.0
2015-05-13,6288,61478.0
2015-05-14,6288,63007.0
2015-05-15,6288,62458.0
2015-05-16,6288,59326.0
2015-05-17,6288,58420.0
2015-05-18,6288,60232.0
2015-05-19,6288,63911.0
2015-05-20,6288,66081.0
2015-05-21,6288,65721.0
2015-05-22,6288,67356.0
2015-05-23,6288,61970.0
2015-05-24,6288,57274.0
2015-05-25,6288,58523.0
2015-05-26,6288,66528.0
2015-05-27,6288,61879.0
2015-05-28,6288,62614.0
2015-05-29,6288,60115.0
2015-05-30,6288,61192.0
2015-05-31,6288,61697.0
2015-06-01,6288,63233.0
2015-06-02,6288,54993.0
2015-06-03,6288,54752.0
2015-06-04,6288,61952.0
2015-06-05,6288,64227.0
2015-06-06,6288,55899.0
2015-06-07,6288,57817.0
2015-06-08,6288,62385.0
2015-06-09,6288,67301.0
2015-06-10,6288,59662.0
2015-06-11,6288,57290.0
2015-06-12,6288,60567.0
2015-06-13,6288,59925.0
2015-06-14,6288,63369.0
2015-06-15,6288,66484.0
2015-06-16,6288,66080.0
2015-06-17,6288,69372.0
2015-06-18,6288,71635.0
2015-06-19,6288,63526.0
2015-06-20,6288,63961.0
2015-06-21,6288,61114.0
2015-06-22,6288,68492.0
2015-06-23,6288,69971.0
2015-06-24,6288,64402.0
2015-06-25,6288,65858.0
2015-06-26,6288,62045.0
2015-06-27,6288,65479.0
2015-06-28,6288,63298.0
2015-06-29,6288,64209.0
2015-06-30,6288,67052.0
2015-07-01,6288,70084.0
2015-07-02,6288,65989.0
2015-07-03,6288,62085.0
2015-07-04,6288,60674.0
2015-07-05,6288,60292.0
2015-07-06,6288,59587.0
2015-07-07,6288,60972.0
2015-07-08,6288,61093.0
2015-07-09,6288,67167.0
2015-07-10,6288,68351.0
2015-07-11,6288,66319.0
2015-07-12,6288,59271.0
2015-07-13,6288,63526.0
2015-07-14,6288,64391.0
2015-07-15,6288,63881.0
2015-07-16,6288,59105.0
2015-07-17,6288,59119.0
2015-07-18,6288,60063.0
2015-07-19,6288,58830.0
2015-07-20,6288,64215.0
2015-07-21,6288,63376.0
2015-07-22,6288,64004.0
2015-07-23,6288,66211.0
2015-07-24,6288,58334.0
2015-07-25,6288,52501.0
2015-07-26,6288,56410.0
2015-07-27,6288,57427.0
2015-07-28,6288,59200.0
2015-07-29,6288,61295.0
2015-07-30,6288,61153.0
2015-07-31,6288,57932.0
2015-08-01,6288,52998.0
2015-08-02,6288,49219.0
2015-08-03,6288,52264.0
2015-08-04,6288,60537.0
2015-08-05,6288,65460.0
2015-08-06,6288,67400.0
2015-08-07,6288,64608.0
2015-08-08,6288,55978.0
2015-08-09,6288,59742.0
2015-08-10,6288,66075.0
2015-08-11,6288,68419.0
2015-08-12,6288,68951.0
2015-08-13,6288,66243.0
2015-08-14,6288,59662.0
2015-08-15,6288,57742.0
2015-08-16,6288,57055.0
2015-08-17,6288,64734.0
2015-08-18,6288,68131.0
2015-08-19,6288,67458.0
2015-08-20,6288,67542.0
2015-08-21,6288,68315.0
2015-08-22,6288,66635.0
2015-08-23,6288,65167.0
2015-08-24,6288,70627.0
2015-08-25,6288,72168.0
2015-08-26,6288,72727.0
2015-08-27,6288,61354.0
2015-08-28,6288,61203.0
2015-08-29,6288,56652.0
2015-08-30,6288,56304.0
2015-08-31,6288,61398.0
2015-09-01,6288,62769.0
2015-09-02,6288,67127.0
2015-09-03,6288,69561.0
2015-09-04,6288,67974.0
2015-09-05,6288,59996.0
2015-09-06,6288,58063.0
2015-09-07,6288,52229.0
2015-09-08,6288,59874.0
2015-09-09,6288,65863.0
2015-09-10,6288,68190.0
2015-09-11,6288,69028.0
2015-09-12,6288,60958.0
