lat,long,Year,Month,Day,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,date_time
30.17,-84.38,2019,4,21,44.791666666666664,423.7916666666667,9.420833333333333,0.16999999999999996,1.6375000000000002,68.66250000000001,16.366666666666664,1017.4583333333334,2019-04-21
30.17,-84.38,2019,4,22,47.833333333333336,412.7083333333333,12.408333333333331,0.18000000000000005,1.4541666666666666,71.6025,18.3625,1020.0416666666666,2019-04-22
30.17,-84.38,2019,4,23,72.16666666666667,352.3333333333333,14.545833333333334,0.18000000000000005,1.3833333333333335,76.06374999999998,19.5125,1018.375,2019-04-23
30.17,-84.38,2019,4,24,145.29166666666666,85.125,15.870833333333332,0.18000000000000005,1.15,77.53208333333333,20.1375,1015.8333333333334,2019-04-24
30.17,-84.38,2019,4,25,132.54166666666666,140.375,17.520833333333336,0.18000000000000005,1.479166666666667,82.59708333333332,20.695833333333336,1013.4166666666666,2019-04-25
30.17,-84.38,2019,4,26,75.79166666666667,314.9583333333333,19.558333333333337,0.14999999999999994,2.170833333333334,84.73166666666667,22.625,1010.0416666666666,2019-04-26
30.17,-84.38,2019,4,27,51.166666666666664,413.8333333333333,12.491666666666665,0.14999999999999994,1.825,68.695,19.1875,1015.0833333333334,2019-04-27
30.17,-84.38,2019,4,28,89.66666666666667,330.0833333333333,12.941666666666668,0.14999999999999994,1.3958333333333333,66.92583333333333,19.849999999999998,1016.2083333333334,2019-04-28
30.17,-84.38,2019,4,29,57.25,385.0833333333333,17.133333333333336,0.14999999999999994,1.1708333333333334,76.23541666666667,21.725000000000005,1018.625,2019-04-29
30.17,-84.38,2019,4,30,61.375,383.2916666666667,19.274999999999995,0.16000000000000006,1.3208333333333335,80.7075,23.0625,1020.4166666666666,2019-04-30
30.17,-84.38,2019,5,1,62.416666666666664,377.5,19.970833333333335,0.14999999999999994,1.4500000000000002,77.35291666666667,24.5,1020.25,2019-05-01
30.17,-84.38,2019,5,2,112.375,156.75,20.64583333333334,0.14999999999999994,1.4208333333333332,81.95875,24.07083333333333,1018.0833333333334,2019-05-02
30.17,-84.38,2019,5,3,119.875,106.70833333333333,21.545833333333334,0.14999999999999994,1.1749999999999998,85.80458333333333,24.308333333333337,1014.0416666666666,2019-05-03
30.17,-84.38,2019,5,4,123.29166666666667,118.83333333333333,22.35416666666667,0.14999999999999994,1.7250000000000003,90.31166666666667,24.170833333333334,1012.0833333333334,2019-05-04
30.17,-84.38,2019,5,5,109.875,172.45833333333334,22.287499999999998,0.14999999999999994,1.9500000000000002,87.02833333333332,24.849999999999998,1009.2083333333334,2019-05-05
30.17,-84.38,2019,5,6,59.25,383.75,19.508333333333336,0.14999999999999994,1.3625,77.46333333333334,24.325000000000003,1012.75,2019-05-06
30.17,-84.38,2019,5,7,69.20833333333333,362.6666666666667,18.483333333333338,0.14999999999999994,1.0791666666666668,72.01083333333332,24.5125,1015.7083333333334,2019-05-07
30.17,-84.38,2019,5,8,94.75,247.16666666666666,20.375,0.14999999999999994,1.683333333333333,75.18624999999999,25.39583333333334,1014.875,2019-05-08
30.17,-84.38,2019,5,9,129.375,149.54166666666666,20.900000000000002,0.14999999999999994,1.7875000000000003,78.21291666666667,25.14166666666667,1014.4166666666666,2019-05-09
30.17,-84.38,2019,5,10,103.33333333333333,153.41666666666666,22.754166666666666,0.14999999999999994,1.3125,88.25208333333336,24.9375,1014.4166666666666,2019-05-10
30.17,-84.38,2019,5,11,108.33333333333333,240.625,22.60416666666667,0.14999999999999994,1.5374999999999999,84.95875000000001,25.412499999999994,1013.25,2019-05-11
30.17,-84.38,2019,5,12,110.33333333333333,40.75,23.700000000000003,0.14999999999999994,2.15,92.89916666666669,24.999999999999996,1010.0,2019-05-12
30.17,-84.38,2019,5,13,113.375,97.5,23.216666666666658,0.14999999999999994,1.783333333333333,88.25083333333335,25.504166666666666,1009.0833333333334,2019-05-13
