Wind Speed,Pressure,is_weekend,day_of_week,Month,month,Relative Humidity,season,DHI,Surface Albedo,Dew Point,Temperature
2.016666666666666,1010.0,1,5,6,6,86.87674189814813,2,117.47106481481482,0.1192638888888888,23.02372685185185,25.97916666666668
2.0083333333333333,1012.3408564814814,1,6,6,6,94.01057581018522,2,132.3321759259259,0.1192638888888888,23.881944444444446,25.4626736111111
2.3583333333333343,1010.1475694444443,0,0,6,6,93.14816550925929,2,154.20428240740745,0.1192638888888888,23.910879629629637,25.51793981481481
1.9312500000000008,1010.0,0,1,6,6,92.75515046296294,2,133.67939814814812,0.1192638888888888,23.519675925925924,25.328125000000004
1.4999999999999998,1010.0,0,2,6,6,91.88627604166663,2,107.96035879629628,0.1192638888888888,23.401041666666668,25.34751157407408
1.2312499999999995,1010.0,0,3,6,6,90.85046296296294,2,113.25781249999996,0.1192638888888888,22.99797453703704,25.373553240740733
1.429166666666667,1010.0,0,4,6,6,89.19747974537033,2,114.890625,0.1192638888888888,22.85763888888889,25.49913194444444
0.8729166666666667,1009.9768518518516,1,5,6,6,81.86120659722222,2,78.62297453703702,0.1192002314814815,22.77806712962963,26.931134259259256
2.131249999999999,1009.9797453703704,1,6,6,6,91.86350694444448,2,105.50607638888891,0.1189583333333334,24.133101851851865,26.27285879629629
3.227083333333333,1010.0,0,0,6,6,96.31947916666668,2,120.15306712962963,0.1189583333333334,24.11516203703704,25.20659722222223
3.033333333333332,1010.0,0,1,6,6,93.28636863425923,2,164.03530092592592,0.1189583333333334,24.6009837962963,26.26388888888889
2.987499999999999,1010.0,0,2,6,6,93.2745138888889,2,140.9253472222222,0.1189583333333334,25.11487268518519,26.80410879629629
2.297916666666666,1010.0,0,3,6,6,88.19935474537039,2,87.01707175925928,0.1189583333333334,24.840567129629623,27.49421296296296
2.15,1010.0,0,4,6,6,83.02566550925927,2,72.34577546296296,0.1189583333333334,23.47482638888889,27.293981481481485
1.0645833333333337,1010.0,1,5,6,6,83.77439814814814,2,96.87673611111111,0.1189583333333334,24.166666666666668,27.95891203703704
1.4145833333333335,1010.0,1,6,6,6,83.60837094907409,2,110.8972800925926,0.1188252314814815,24.080439814814813,27.87152777777777
1.4708333333333332,1010.0,0,0,6,6,85.47613425925924,2,130.9730902777778,0.1183194444444444,23.422743055555543,26.71643518518518
